URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/2017/02/19/business/uber-sexual-harassment-investigation.html,269180,46,text/html
https://www.nytimes.com/2018/11/30/business/tesla-factory-racism.html,466245,43,text/html
https://www.nytimes.com/2018/10/15/technology/myanmar-facebook-genocide.html,366755,53,text/html
https://www.nytimes.com/2020/06/11/world/canada/trudeau-coronavirus-hair.html,333151,50,text/html
https://www.nytimes.com/2020/08/23/world/canada/canada-conservatives-trudeau-leader.html?action=click&module=RelatedLinks&pgtype=Article,407990,51,text/html
https://www.nytimes.com/2009/07/12/magazine/12cameron-t.html,448801,38,text/html
https://www.nytimes.com/2017/05/28/world/americas/andrew-scheer-canada-conservatives.html,260755,44,text/html
https://www.nytimes.com/zh-hant/privacy/cookie-policy,112028,40,text/html
https://www.nytimes.com/es/privacy/cookie-policy,115035,40,text/html
https://www.nytimes.com/live/2021/08/23/world/covid-delta-variant-vaccine/fda-approval-pfizer-vaccine,1048576,148,text/html
https://www.nytimes.com/2016/12/21/books/norm-macdonalds-often-funny-always-fabulist-based-on-a-true-story.html,338519,52,text/html
https://www.nytimes.com/by/jason-zinoman,295753,54,text/html
https://www.nytimes.com/2017/05/19/arts/television/norm-macdonald-netflix-tracy-morgan.html,313724,51,text/html
https://www.nytimes.com/2021/08/24/opinion/ezra-klein-podcast-van-der-kolk.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,68,text/html
https://www.nytimes.com/2021/01/19/opinion/how-to-listen-ezra-klein-show-nyt.html?action=click&module=RelatedLinks&pgtype=Article,262160,51,text/html
https://www.nytimes.com/2021/09/14/opinion/ezra-klein-podcast-colson-whitehead.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,67,text/html
https://www.nytimes.com/2021/08/27/opinion/ezra-klein-podcast-robert-wright.html?action=click&module=audio-series-bar&region=header&pgtype=Article,988959,77,text/html
https://www.nytimes.com/interactive/2021/us/barnwell-south-carolina-covid-cases.html,1048576,180,text/html
https://www.nytimes.com/games-assets/v2/metadata/lb-apple-touch-icon.png?v=v7.26.1,5028,0,image/png
https://www.nytimes.com/by/helene-cooper,589429,57,text/html
https://www.nytimes.com/2021/09/01/us/politics/gop-us-election-security.html,473966,70,text/html
https://www.nytimes.com/2021/04/25/us/Election-audit-Arizona-Republicans.html,465815,64,text/html
https://www.nytimes.com/2021/09/08/business/irs-tax-avoidance.html,317727,54,text/html
https://www.nytimes.com/2020/11/09/us/politics/esper-defense-secretary.html,435906,64,text/html
https://www.nytimes.com/2021/09/14/briefing/biden-democrats-tax-increases-funding.html,575933,94,text/html
https://www.nytimes.com/by/stephen-gandel,326238,54,text/html
https://www.nytimes.com/2021/06/23/us/politics/milley-critical-race-theory-military.html,331139,46,text/html
https://www.nytimes.com/by/alan-rappeport,519857,57,text/html
https://www.nytimes.com/video/us/politics/100000007606996/capitol-riot-trump-supporters.html,1048576,104,text/html
https://www.nytimes.com/2016/04/27/business/international/australia-submarine-deal-japan-france.html,296094,43,text/html
https://www.nytimes.com/by/david-e-sanger,602643,60,text/html
https://www.nytimes.com/2021/01/21/climate/biden-paris-climate-agreement.html,351528,54,text/html
https://www.nytimes.com/article/who-is-sidney-powell.html,383657,60,text/html
https://www.nytimes.com/2018/08/23/technology/huawei-banned-australia-5g.html,285237,52,text/html
https://www.nytimes.com/2021/06/08/us/politics/capitol-riot-security.html,434382,62,text/html
https://www.nytimes.com/interactive/2021/03/24/us/officer-sicknick-capitol-riot.html,180815,48,text/html
https://www.nytimes.com/2021/08/14/us/politics/lindsey-graham-donald-trump.html,750852,55,text/html
https://www.nytimes.com/2021/09/03/us/politics/qanon-shaman-capitol-guilty.html,324630,49,text/html
https://www.nytimes.com/2021/06/30/us/jan-6-capitol-attack-takeaways.html,516280,50,text/html
https://www.nytimes.com/section/business/energy-environment,614086,65,text/html
https://www.nytimes.com/2021/09/14/technology/how-good-is-apple-iphone-13.html,255490,45,text/html
https://www.nytimes.com/2021/09/14/technology/elizabeth-holmes-trial-theranos.html,472280,60,text/html
https://www.nytimes.com/section/business/smallbusiness,457626,67,text/html
https://www.nytimes.com/2021/08/25/health/johnson-johnson-vaccine-booster-shot.html,392371,62,text/html
https://www.nytimes.com/2021/04/26/world/europe/astrazeneca-eu-lawsuit.html,403638,53,text/html
https://www.nytimes.com/live/2020/12/28/world/covid-19-coronavirus-updates/novavax-is-starting-the-final-stage-of-testing-for-its-vaccine,1048576,138,text/html
